,name,geo_type,name_cbsa,popestimate2010,popestimate2020,n_pop_chg_2010_2020,births_2010_2020,deaths_2010_2020,natural_increase_2010_2020,int_migration_2010_2020,dom_migration_2010_2020,net_migration_2010_2020,dom_migration_rate_1020,int_migration_rate_1020
0,"Abilene, TX",Metropolitan Statistical Area,"Abilene, TX Metro Area",165590,173185,7933,24162,17347,6815,3213,-2057,1156,-0.012422247720272964,0.019403345612657767
1,"Akron, OH",Metropolitan Statistical Area,"Akron, OH Metro Area",703056,701449,-1766,76396,74134,2262,14723,-18377,-3654,-0.026138742859743748,0.0209414328303862
2,"Albany, GA",Metropolitan Statistical Area,"Albany, GA Metro Area",154155,145206,-8827,20510,15136,5374,911,-15217,-14306,-0.09871233498751256,0.005909636404917129
3,"Albany-Lebanon, OR",Metropolitan Statistical Area,"Albany-Lebanon, OR Metro Area",116887,131054,14373,15074,12929,2145,214,12059,12273,0.10316801697365832,0.0018308280647120726
4,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,"Albany-Schenectady-Troy, NY Metro Area",871101,878550,7837,91837,81373,10464,17611,-19809,-2198,-0.022740187417991716,0.02021694384462881
5,"Albuquerque, NM",Metropolitan Statistical Area,"Albuquerque, NM Metro Area",889581,923630,36574,104702,75732,28970,13584,-5524,8060,-0.006209664999589694,0.015270110310359597
6,"Alexandria, LA",Metropolitan Statistical Area,"Alexandria, LA Metro Area",154088,150821,-3089,20794,16998,3796,825,-7637,-6812,-0.049562587612273515,0.005354083380925185
7,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",821768,846399,25304,88060,83833,4227,26552,-4933,21619,-0.006002910797207971,0.032310822519251166
8,"Altoona, PA",Metropolitan Statistical Area,"Altoona, PA Metro Area",127049,121007,-6114,13050,16583,-3533,287,-2769,-2482,-0.0217947406118899,0.0022589709482168296
9,"Amarillo, TX",Metropolitan Statistical Area,"Amarillo, TX Metro Area",252666,265761,13824,37257,24007,13250,6274,-5800,474,-0.022955205686558542,0.02483120008232212
10,"Ames, IA",Metropolitan Statistical Area,"Ames, IA Metro Area",115932,124514,8664,12253,8360,3893,7398,-2667,4731,-0.02300486492081565,0.06381326984784184
11,"Anchorage, AK",Metropolitan Statistical Area,"Anchorage, AK Metro Area",383491,397308,16075,59705,23339,36366,10461,-31122,-20661,-0.08115444691009698,0.02727834551527937
12,"Ann Arbor, MI",Metropolitan Statistical Area,"Ann Arbor, MI Metro Area",345980,366473,21056,37579,23063,14516,19183,-12452,6731,-0.03599051968321868,0.05544540146829297
13,"Anniston-Oxford, AL",Metropolitan Statistical Area,"Anniston-Oxford, AL Metro Area",118420,113469,-5064,13556,14808,-1252,540,-4306,-3766,-0.0363621009964533,0.004560040533693633
14,"Appleton, WI",Metropolitan Statistical Area,"Appleton, WI Metro Area",225884,238975,13380,28640,17600,11040,1958,525,2483,0.002324201802695189,0.008668165961289866
15,"Asheville, NC",Metropolitan Statistical Area,"Asheville, NC Metro Area",425365,466634,41770,44832,50760,-5928,2017,45351,47368,0.10661667038896007,0.004741809974962679
16,"Athens-Clarke County, GA",Metropolitan Statistical Area,"Athens-Clarke County, GA Metro Area",193436,214759,22201,22561,14493,8068,4200,9808,14008,0.050704108852540376,0.02171260778758866
17,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",5302733,6087762,801073,742606,373246,369360,161041,269844,430885,0.050887721482488366,0.030369434025812724
18,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,"Atlantic City-Hammonton, NJ Metro Area",274654,262945,-11587,31062,27578,3484,7493,-22691,-15198,-0.0826166740699207,0.02728159793776897
19,"Auburn-Opelika, AL",Metropolitan Statistical Area,"Auburn-Opelika, AL Metro Area",140815,166831,26531,18526,10814,7712,5129,13498,18627,0.09585626531264424,0.03642367645492313
20,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,"Augusta-Richmond County, GA-SC Metro Area",566712,614312,49419,76077,55661,20416,7024,21915,28939,0.03867043577690255,0.012394302573441185
21,"Austin-Round Rock-Georgetown, TX",Metropolitan Statistical Area,"Austin-Round Rock-Georgetown, TX Metro Area",1727514,2295303,578996,266507,102543,163964,67765,342570,410335,0.19830230029973708,0.03922688904402511
22,"Bakersfield, CA",Metropolitan Statistical Area,"Bakersfield, CA Metro Area",841365,901362,61743,140814,60952,79862,5264,-23200,-17936,-0.027574239479892796,0.006256499854403261
23,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,"Baltimore-Columbia-Towson, MD Metro Area",2715794,2800189,89588,342158,251744,90414,69453,-68456,997,-0.02520662465562557,0.02557373644687336
24,"Bangor, ME",Metropolitan Statistical Area,"Bangor, ME Metro Area",153864,151655,-2277,14727,16299,-1572,1236,-1851,-615,-0.012030104507877086,0.008033068164092966
25,"Barnstable Town, MA",Metropolitan Statistical Area,"Barnstable Town, MA Metro Area",215909,213164,-2719,15862,29924,-14062,3821,7747,11568,0.035880857212992515,0.0176972706093771
26,"Baton Rouge, LA",Metropolitan Statistical Area,"Baton Rouge, LA Metro Area",827673,858571,32627,114917,72984,41933,10412,-19740,-9328,-0.023849998731383045,0.012579847355175292
27,"Battle Creek, MI",Metropolitan Statistical Area,"Battle Creek, MI Metro Area",135953,133580,-2570,16516,15414,1102,2428,-6085,-3657,-0.04475811493677962,0.017859113075842387
28,"Bay City, MI",Metropolitan Statistical Area,"Bay City, MI Metro Area",107678,102387,-5386,10569,12501,-1932,254,-3656,-3402,-0.033953082338082065,0.002358884823269377
29,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,"Beaumont-Port Arthur, TX Metro Area",389257,391310,2559,54246,41097,13149,5605,-16163,-10558,-0.041522695802516066,0.014399227245752806
30,"Beckley, WV",Metropolitan Statistical Area,"Beckley, WV Metro Area",124950,114982,-9928,13910,17333,-3423,598,-7061,-6463,-0.056510604241696676,0.0047859143657462975
31,"Bellingham, WA",Metropolitan Statistical Area,"Bellingham, WA Metro Area",201549,231016,29870,22952,16707,6245,3982,19658,23640,0.09753459456509336,0.019756982173069572
32,"Bend, OR",Metropolitan Statistical Area,"Bend, OR Metro Area",157744,201769,44041,18125,14644,3481,-95,40320,40225,0.2556040166345471,-0.0006022416066538189
33,"Billings, MT",Metropolitan Statistical Area,"Billings, MT Metro Area",167580,183799,16634,21528,17014,4514,1073,11053,12126,0.06595655806182121,0.006402912042009786
34,"Binghamton, NY",Metropolitan Statistical Area,"Binghamton, NY Metro Area",251486,237324,-14398,25275,26344,-1069,4160,-17562,-13402,-0.06983291316415229,0.01654167627621418
35,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover, AL Metro Area",1061728,1091921,30883,138842,111667,27175,9309,-4989,4320,-0.00469894360890925,0.008767782332198076
36,"Bismarck, ND",Metropolitan Statistical Area,"Bismarck, ND Metro Area",111119,129641,19016,17506,10330,7176,1280,10310,11590,0.09278341237772117,0.011519182138068195
37,"Blacksburg-Christiansburg, VA",Metropolitan Statistical Area,"Blacksburg-Christiansburg, VA Metro Area",163139,167244,4285,14992,14504,488,5736,-1925,3811,-0.011799753584366706,0.035160200810351906
38,"Bloomington, IL",Metropolitan Statistical Area,"Bloomington, IL Metro Area",169815,171256,1678,20671,12100,8571,6160,-13143,-6983,-0.07739598975355534,0.036274769602214166
39,"Bloomington, IN",Metropolitan Statistical Area,"Bloomington, IN Metro Area",160140,169052,9522,15484,11985,3499,9551,-3498,6053,-0.0218433870363432,0.059641563631822166
40,"Bloomsburg-Berwick, PA",Metropolitan Statistical Area,"Bloomsburg-Berwick, PA Metro Area",85653,82884,-2668,8141,9510,-1369,593,-1830,-1237,-0.02136527617246331,0.006923283481022264
41,"Boise City, ID",Metropolitan Statistical Area,"Boise City, ID Metro Area",617899,770353,153787,86825,47962,38863,7178,107361,114539,0.1737516972838603,0.011616785267495171
42,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,"Boston-Cambridge-Newton, MA-NH Metro Area",4566448,4878211,325613,524112,376593,147519,309878,-128613,181265,-0.02816477927702232,0.06785974569293245
43,"Boulder, CO",Metropolitan Statistical Area,"Boulder, CO Metro Area",295056,327171,32611,28618,18203,10415,8800,13329,22129,0.04517447535383114,0.029824846808741395
44,"Bowling Green, KY",Metropolitan Statistical Area,"Bowling Green, KY Metro Area",159352,180751,22133,21854,15422,6432,5322,10366,15688,0.06505095637331193,0.033397760931773685
45,"Bremerton-Silverdale-Port Orchard, WA",Metropolitan Statistical Area,"Bremerton-Silverdale-Port Orchard, WA Metro Area",251696,272787,21644,30811,22396,8415,2663,10476,13139,0.04162163880236476,0.0105802237619986
46,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,"Bridgeport-Stamford-Norwalk, CT Metro Area",919371,942426,25516,102311,68987,33324,49354,-57114,-7760,-0.062122907944670874,0.0536823545663285
47,"Brownsville-Harlingen, TX",Metropolitan Statistical Area,"Brownsville-Harlingen, TX Metro Area",407608,424180,17966,71420,26882,44538,3277,-30003,-26726,-0.07360748562344213,0.008039587054228572
48,"Brunswick, GA",Metropolitan Statistical Area,"Brunswick, GA Metro Area",112524,119157,6786,13257,12102,1155,856,4779,5635,0.04247093953289965,0.007607266005474387
49,"Buffalo-Cheektowaga, NY",Metropolitan Statistical Area,"Buffalo-Cheektowaga, NY Metro Area",1135634,1125637,-9971,123684,125060,-1376,25789,-33738,-7949,-0.029708515243467525,0.022708900931109846
50,"Burlington, NC",Metropolitan Statistical Area,"Burlington, NC Metro Area",151437,171346,20186,18788,16815,1973,751,17497,18248,0.11553979542648098,0.004959157933662183
51,"Burlington-South Burlington, VT",Metropolitan Statistical Area,"Burlington-South Burlington, VT Metro Area",211543,221160,9896,22014,16077,5937,6481,-2355,4126,-0.011132488430248224,0.03063679724689543
52,"California-Lexington Park, MD",Metropolitan Statistical Area,"California-Lexington Park, MD Metro Area",105772,114687,9541,14370,8156,6214,1563,1790,3353,0.016923193283666756,0.014777067654955943
53,"Canton-Massillon, OH",Metropolitan Statistical Area,"Canton-Massillon, OH Metro Area",404207,396669,-7739,45144,46447,-1303,1423,-7529,-6106,-0.0186265947893035,0.0035204734207967704
54,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,"Cape Coral-Fort Myers, FL Metro Area",620481,790767,172006,67541,70855,-3314,29568,144482,174050,0.2328548335887803,0.04765335280210031
55,"Cape Girardeau, MO-IL",Metropolitan Statistical Area,"Cape Girardeau, MO-IL Metro Area",96459,97120,841,11527,10319,1208,1424,-1776,-352,-0.018411967779056387,0.014762748939964132
56,"Carbondale-Marion, IL",Metropolitan Statistical Area,"Carbondale-Marion, IL Metro Area",139409,135448,-3700,15795,14062,1733,2652,-8183,-5531,-0.058697788521544524,0.019023162062707568
57,"Carson City, NV",Metropolitan Statistical Area,"Carson City, NV Metro Area",54983,56034,765,6019,7322,-1303,-148,2192,2044,0.039866867940999945,-0.0026917410836076604
58,"Casper, WY",Metropolitan Statistical Area,"Casper, WY Metro Area",75477,80815,5367,10903,7370,3533,436,1267,1703,0.016786570743405275,0.005776594194257853
59,"Cedar Rapids, IA",Metropolitan Statistical Area,"Cedar Rapids, IA Metro Area",258449,273885,15938,33328,22304,11024,4070,1038,5108,0.004016266265297989,0.015747787764704063
60,"Chambersburg-Waynesboro, PA",Metropolitan Statistical Area,"Chambersburg-Waynesboro, PA Metro Area",149925,155637,6012,18702,15687,3015,2195,966,3161,0.0064432216108054035,0.014640653660163415
61,"Champaign-Urbana, IL",Metropolitan Statistical Area,"Champaign-Urbana, IL Metro Area",218268,225547,7733,25832,15171,10661,18272,-21326,-3054,-0.09770557296534536,0.08371359979474774
62,"Charleston, WV",Metropolitan Statistical Area,"Charleston, WV Metro Area",277821,254145,-23855,30187,36710,-6523,1285,-18477,-17192,-0.06650685153390133,0.0046252803063843275
63,"Charleston-North Charleston, SC",Metropolitan Statistical Area,"Charleston-North Charleston, SC Metro Area",667495,819705,155058,96045,58028,38017,11247,104474,115721,0.1565165282136945,0.016849564416212857
64,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2250187,2684276,440324,312200,191999,120201,58476,259991,318467,0.11554195273548375,0.02598717351046824
65,"Charlottesville, VA",Metropolitan Statistical Area,"Charlottesville, VA Metro Area",201913,219910,18331,23166,17092,6074,7373,4977,12350,0.02464923011395997,0.03651572707057
66,"Chattanooga, TN-GA",Metropolitan Statistical Area,"Chattanooga, TN-GA Metro Area",529167,569931,41800,64478,57697,6781,4281,30751,35032,0.05811208937821141,0.0080900736440481
67,"Cheyenne, WY",Metropolitan Statistical Area,"Cheyenne, WY Metro Area",92246,100595,8710,12975,8353,4622,731,3325,4056,0.03604492335711034,0.00792446284933764
68,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9470661,9406638,-54902,1191992,729094,462898,200600,-718600,-518000,-0.07587643565744777,0.021181203719571426
69,"Chico, CA",Metropolitan Statistical Area,"Chico, CA Metro Area",219951,212744,-7261,24618,23905,713,1573,-9408,-7835,-0.042773163113602575,0.007151592854772198
70,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,"Cincinnati, OH-KY-IN Metro Area",2140963,2232907,95189,280088,202033,78055,37668,-19365,18303,-0.009044995172733016,0.01759395188053226
71,"Clarksville, TN-KY",Metropolitan Statistical Area,"Clarksville, TN-KY Metro Area",274994,314364,40422,52921,22427,30494,7043,2416,9459,0.008785646232281431,0.025611467886572068
72,"Cleveland, TN",Metropolitan Statistical Area,"Cleveland, TN Metro Area",115899,125906,10159,13940,13008,932,1246,7995,9241,0.06898247612145057,0.010750739868333636
73,"Cleveland-Elyria, OH",Metropolitan Statistical Area,"Cleveland-Elyria, OH Metro Area",2075476,2043807,-33463,234158,221913,12245,39864,-84776,-44912,-0.04084653351809416,0.019207160188795244
74,"Coeur d'Alene, ID",Metropolitan Statistical Area,"Coeur d'Alene, ID Metro Area",138860,170628,32162,18081,14096,3985,-359,28493,28134,0.2051922799942388,-0.0025853377502520524
75,"College Station-Bryan, TX",Metropolitan Statistical Area,"College Station-Bryan, TX Metro Area",229460,268224,39559,31676,14488,17188,13596,8681,22277,0.037832301926261656,0.05925215723873443
76,"Colorado Springs, CO",Metropolitan Statistical Area,"Colorado Springs, CO Metro Area",650562,753839,108223,96734,45798,50936,12001,45144,57145,0.06939231003347875,0.018447127253051976
77,"Columbia, MO",Metropolitan Statistical Area,"Columbia, MO Metro Area",190950,210094,19698,24689,14046,10643,6668,2389,9057,0.012511128567687876,0.03492013616129877
78,"Columbia, SC",Metropolitan Statistical Area,"Columbia, SC Metro Area",769682,847397,79919,95965,69393,26572,15661,37883,53544,0.04921902811810592,0.02034736423613908
79,"Columbus, GA-AL",Metropolitan Statistical Area,"Columbus, GA-AL Metro Area",309504,322658,14177,46593,31008,15585,8371,-10426,-2055,-0.033686155913978486,0.027046500206782464
80,"Columbus, IN",Metropolitan Statistical Area,"Columbus, IN Metro Area",76823,84447,7665,10804,7615,3189,4649,-152,4497,-0.0019785741249365428,0.06051573096598675
81,"Columbus, OH",Metropolitan Statistical Area,"Columbus, OH Metro Area",1906408,2138946,236934,278121,161438,116683,67215,53408,120623,0.028014989446120662,0.035257405550123584
82,"Corpus Christi, TX",Metropolitan Statistical Area,"Corpus Christi, TX Metro Area",404675,430217,25202,58518,35699,22819,6457,-4054,2403,-0.010017915611293013,0.015956014085377154
83,"Corvallis, OR",Metropolitan Statistical Area,"Corvallis, OR Metro Area",85577,93239,7658,7378,5893,1485,4789,1358,6147,0.015868749780899073,0.05596129801231639
84,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,"Crestview-Fort Walton Beach-Destin, FL Metro Area",235939,289468,53600,35488,24231,11257,4790,37099,41889,0.1572397950317667,0.0203018576835538
85,"Cumberland, MD-WV",Metropolitan Statistical Area,"Cumberland, MD-WV Metro Area",103176,96779,-6488,9656,12724,-3068,621,-4014,-3393,-0.03890439637124913,0.00601884159106769
86,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,"Dallas-Fort Worth-Arlington, TX Metro Area",6392097,7694138,1327597,1000165,437830,562335,256511,507082,763593,0.07932952206451185,0.040129397285429184
87,"Dalton, GA",Metropolitan Statistical Area,"Dalton, GA Metro Area",142272,143869,1639,19091,12312,6779,319,-5423,-5104,-0.03811712775528565,0.0022421839856050377
88,"Danville, IL",Metropolitan Statistical Area,"Danville, IL Metro Area",81642,74855,-6770,10333,9944,389,253,-7419,-7166,-0.09087234511648416,0.0030988951765022906
89,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,"Daphne-Fairhope-Foley, AL Metro Area",183121,229287,47024,22965,21613,1352,1618,43683,45301,0.238547190109272,0.008835687878506561
90,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,"Davenport-Moline-Rock Island, IA-IL Metro Area",379773,377759,-1933,47732,38710,9022,5971,-16836,-10865,-0.044331745542732115,0.015722550049634913
91,"Dayton-Kettering, OH",Metropolitan Statistical Area,"Dayton-Kettering, OH Metro Area",799706,809248,9968,98062,87927,10135,15951,-15742,209,-0.01968473413979637,0.019946080184467797
92,"Decatur, AL",Metropolitan Statistical Area,"Decatur, AL Metro Area",153956,152740,-1087,18286,17468,818,854,-2686,-1832,-0.017446543168177918,0.005547039413858505
93,"Decatur, IL",Metropolitan Statistical Area,"Decatur, IL Metro Area",110786,103015,-7762,13606,12558,1048,558,-9396,-8838,-0.0848121603812756,0.0050367374939071724
94,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",590527,679948,89665,57686,83613,-25927,13680,101489,115169,0.17186174383220412,0.023165748560184374
95,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,"Denver-Aurora-Lakewood, CO Metro Area",2554588,2991231,447634,352718,178135,174583,61405,208256,269661,0.08152234332894384,0.024037144150054725
96,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,"Des Moines-West Des Moines, IA Metro Area",608942,707915,101437,94427,50696,43731,14446,42970,57416,0.07056501275983591,0.023723113202899455
97,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,"Detroit-Warren-Dearborn, MI Metro Area",4291281,4304136,8168,512175,423334,88841,114086,-194937,-80851,-0.045426295784405636,0.026585534715624543
98,"Dothan, AL",Metropolitan Statistical Area,"Dothan, AL Metro Area",145871,150214,4573,18277,17180,1097,337,3242,3579,0.02222511671271192,0.0023102604355903504
99,"Dover, DE",Metropolitan Statistical Area,"Dover, DE Metro Area",162972,183643,21291,22616,16251,6365,2840,12086,14926,0.07415997840119776,0.017426306359374616
100,"Dubuque, IA",Metropolitan Statistical Area,"Dubuque, IA Metro Area",93933,97590,3947,12260,9288,2972,1142,-99,1043,-0.0010539427038421005,0.012157601694825037
101,"Duluth, MN-WI",Metropolitan Statistical Area,"Duluth, MN-WI Metro Area",290547,288648,-1987,29576,31130,-1554,1915,-2104,-189,-0.007241513421236495,0.006591016255545574
102,"Durham-Chapel Hill, NC",Metropolitan Statistical Area,"Durham-Chapel Hill, NC Metro Area",566291,652542,88337,72592,45281,27311,21571,39066,60637,0.06898573348331513,0.038091723160000784
103,"East Stroudsburg, PA",Metropolitan Statistical Area,"East Stroudsburg, PA Metro Area",169852,170154,317,14696,14849,-153,2691,-2247,444,-0.01322916421355062,0.015843204672302946
104,"Eau Claire, WI",Metropolitan Statistical Area,"Eau Claire, WI Metro Area",161658,169997,8614,19246,14431,4815,1291,2596,3887,0.016058592831780672,0.007985995125511883
105,"El Centro, CA",Metropolitan Statistical Area,"El Centro, CA Metro Area",174704,180267,5745,30275,10616,19659,1371,-15417,-14046,-0.08824640534847514,0.007847559300302226
106,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area,"Elizabethtown-Fort Knox, KY Metro Area",149852,154356,6024,19922,13556,6366,2394,-2932,-538,-0.01956597175880202,0.01597576275258255
107,"Elkhart-Goshen, IN",Metropolitan Statistical Area,"Elkhart-Goshen, IN Metro Area",197453,206161,8592,31576,17207,14369,1221,-6923,-5702,-0.03506150830830628,0.006183750056975584
108,"Elmira, NY",Metropolitan Statistical Area,"Elmira, NY Metro Area",88895,82622,-6224,9747,9870,-123,464,-6581,-6117,-0.0740311603577254,0.00521964114967096
109,"El Paso, TX",Metropolitan Statistical Area,"El Paso, TX Metro Area",807020,846192,42082,133284,53275,80009,16790,-55068,-38278,-0.0682362271071349,0.02080493668062749
110,"Enid, OK",Metropolitan Statistical Area,"Enid, OK Metro Area",60771,60869,287,9487,7038,2449,2061,-4200,-2139,-0.06911191193167794,0.03391420249790196
111,"Erie, PA",Metropolitan Statistical Area,"Erie, PA Metro Area",280809,268426,-12160,31336,29490,1846,6147,-20161,-14014,-0.07179613189035965,0.021890324028076023
112,"Eugene-Springfield, OR",Metropolitan Statistical Area,"Eugene-Springfield, OR Metro Area",351948,382986,31281,35750,36152,-402,5562,26261,31823,0.0746161364747065,0.015803470967301992
113,"Evansville, IN-KY",Metropolitan Statistical Area,"Evansville, IN-KY Metro Area",311809,315731,4180,37630,33558,4072,2142,-1813,329,-0.00581445692715733,0.0068695900374909
114,"Fairbanks, AK",Metropolitan Statistical Area,"Fairbanks, AK Metro Area",98272,95651,-1934,16769,4930,11839,2736,-16675,-13939,-0.16968210680560078,0.027841094106154343
115,"Fargo, ND-MN",Metropolitan Statistical Area,"Fargo, ND-MN Metro Area",209465,248594,39822,33815,15409,18406,7370,13799,21169,0.06587735421192084,0.03518487575489938
116,"Farmington, NM",Metropolitan Statistical Area,"Farmington, NM Metro Area",130209,123312,-6733,17580,10400,7180,332,-14320,-13988,-0.10997703691757098,0.00254974694529564
117,"Fayetteville, NC",Metropolitan Statistical Area,"Fayetteville, NC Metro Area",490502,529252,48215,85360,39012,46348,16376,-15898,478,-0.032411692510937784,0.033386204337596995
118,"Fayetteville-Springdale-Rogers, AR",Metropolitan Statistical Area,"Fayetteville-Springdale-Rogers, AR Metro Area",442308,548634,108516,71482,35569,35913,12489,59647,72136,0.13485399314504826,0.02823598035757888
119,"Flagstaff, AZ",Metropolitan Statistical Area,"Flagstaff, AZ Metro Area",134624,142481,8046,16520,8280,8240,1828,-2041,-213,-0.015160743998098409,0.01357855954361778
120,"Flint, MI",Metropolitan Statistical Area,"Flint, MI Metro Area",424959,404794,-20996,49570,46214,3356,2077,-26679,-24602,-0.06278017408738255,0.004887530326455023
121,"Florence, SC",Metropolitan Statistical Area,"Florence, SC Metro Area",205674,204097,-1484,25559,24323,1236,910,-3466,-2556,-0.016851911277069538,0.004424477571302158
122,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,"Florence-Muscle Shoals, AL Metro Area",147265,148779,1640,15815,18705,-2890,925,3724,4649,0.025287746579295826,0.0062811937663395925
123,"Fond du Lac, WI",Metropolitan Statistical Area,"Fond du Lac, WI Metro Area",101579,102902,1276,11083,9752,1331,1196,-1215,-19,-0.011961133698894457,0.011774087163685408
124,"Fort Collins, CO",Metropolitan Statistical Area,"Fort Collins, CO Metro Area",300453,360428,60800,34394,22266,12128,4746,43379,48125,0.14437865489777102,0.015796147816796637
125,"Fort Smith, AR-OK",Metropolitan Statistical Area,"Fort Smith, AR-OK Metro Area",248393,250434,2170,32540,27362,5178,1478,-4385,-2907,-0.017653476547245694,0.005950248195400031
126,"Fort Wayne, IN",Metropolitan Statistical Area,"Fort Wayne, IN Metro Area",389307,416565,27939,57513,35665,21848,6239,135,6374,0.0003467700298222226,0.016025912711561827
127,"Fresno, CA",Metropolitan Statistical Area,"Fresno, CA Metro Area",932011,1000918,70415,156504,69429,87075,8658,-25041,-16383,-0.026867708642923743,0.009289589929732587
128,"Gadsden, AL",Metropolitan Statistical Area,"Gadsden, AL Metro Area",104440,102371,-2041,12174,14514,-2340,390,-1,389,-9.574875526618153e-06,0.0037342014553810796
129,"Gainesville, FL",Metropolitan Statistical Area,"Gainesville, FL Metro Area",305357,332317,27233,35115,26979,8136,11679,7449,19128,0.02439439737749585,0.038247035437209566
130,"Gainesville, GA",Metropolitan Statistical Area,"Gainesville, GA Metro Area",180070,206591,26826,26275,14787,11488,1284,14078,15362,0.07818070750263786,0.00713056033764647
131,"Gettysburg, PA",Metropolitan Statistical Area,"Gettysburg, PA Metro Area",101472,102742,1323,10251,10432,-181,594,984,1578,0.009697256385998108,0.005853831598864712
132,"Glens Falls, NY",Metropolitan Statistical Area,"Glens Falls, NY Metro Area",129027,124362,-4590,11850,13623,-1773,438,-3187,-2749,-0.02470025653545382,0.003394638331512009
133,"Goldsboro, NC",Metropolitan Statistical Area,"Goldsboro, NC Metro Area",122891,123967,1302,17091,12485,4606,3040,-6338,-3298,-0.05157415921426305,0.024737368887876247
134,"Grand Forks, ND-MN",Metropolitan Statistical Area,"Grand Forks, ND-MN Metro Area",98633,100381,1917,14329,8529,5800,2269,-6157,-3888,-0.06242332687842811,0.023004471120213317
135,"Grand Island, NE",Metropolitan Statistical Area,"Grand Island, NE Metro Area",72944,75325,2571,11451,7142,4309,2810,-4509,-1699,-0.06181454266286466,0.038522702347005916
136,"Grand Junction, CO",Metropolitan Statistical Area,"Grand Junction, CO Metro Area",146266,155603,8867,17901,15037,2864,159,5881,6040,0.040207567035401265,0.001087060560895902
137,"Grand Rapids-Kentwood, MI",Metropolitan Statistical Area,"Grand Rapids-Kentwood, MI Metro Area",994270,1081372,87717,138249,78829,59420,18855,9860,28715,0.009916823398070946,0.018963661782010918
138,"Grants Pass, OR",Metropolitan Statistical Area,"Grants Pass, OR Metro Area",82880,88053,5335,8533,12381,-3848,7,9175,9182,0.11070222007722008,8.445945945945946e-05
139,"Great Falls, MT",Metropolitan Statistical Area,"Great Falls, MT Metro Area",81513,81346,19,11555,8664,2891,940,-3784,-2844,-0.046422043109688026,0.011531902886656115
140,"Greeley, CO",Metropolitan Statistical Area,"Greeley, CO Metro Area",254224,333983,81147,41936,17551,24385,2635,53627,56262,0.21094389200075525,0.0103648750708037
141,"Green Bay, WI",Metropolitan Statistical Area,"Green Bay, WI Metro Area",306749,323379,17138,39816,25492,14324,3438,-383,3055,-0.0012485778274745802,0.011207860498322732
142,"Greensboro-High Point, NC",Metropolitan Statistical Area,"Greensboro-High Point, NC Metro Area",725292,776363,52420,88413,70978,17435,14720,20701,35421,0.028541608069577493,0.020295274179227125
143,"Greenville, NC",Metropolitan Statistical Area,"Greenville, NC Metro Area",168865,182924,14751,21557,12967,8590,1539,4642,6181,0.027489414621147068,0.00911378912148758
144,"Greenville-Anderson, SC",Metropolitan Statistical Area,"Greenville-Anderson, SC Metro Area",825646,932705,108682,107278,85718,21560,16940,70036,86976,0.0848257001184527,0.020517267690995898
145,"Gulfport-Biloxi, MS",Metropolitan Statistical Area,"Gulfport-Biloxi, MS Metro Area",389356,418963,30358,51709,41018,10691,5881,13824,19705,0.035504782255827566,0.015104428851744931
146,"Hagerstown-Martinsburg, MD-WV",Metropolitan Statistical Area,"Hagerstown-Martinsburg, MD-WV Metro Area",269857,291144,21991,33217,28287,4930,2208,14839,17047,0.05498838273604168,0.008182111266337356
147,"Hammond, LA",Metropolitan Statistical Area,"Hammond, LA Metro Area",121463,136765,15682,19674,12629,7045,799,7836,8635,0.06451347323876408,0.0065781349052797975
148,"Hanford-Corcoran, CA",Metropolitan Statistical Area,"Hanford-Corcoran, CA Metro Area",152342,152692,-298,23918,8594,15324,515,-16507,-15992,-0.10835488571766158,0.00338055165351643
